Course ID,Term Code,Term Descr,Session,Subject,Catalog Nbr,Section,Component Code,Class Nbr,Course Title,Location Code,Instruction Mode code,Meeting Pattern Nbr,Room Code,Building Code,Room,Class Start Time,Class End Time,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,DD,MM,MM,MM,YYYY,Start Date (DD/MM/YYYY),DD,,MM,YYYY,End Date (DD/MM/YYYY),End Date (DD/MM/YYYY),End Date (DD/MM/YYYY),End Date (DD/MM/YYYY)
47833,2183,Fall/Winter 2018-19,26W,BLDG,490B,V,LEC,1784,Capstone Building Engineering,SGW,P,1,H937,H,937,10.15.00,11.55.00,N,N,N,Y,N,N,N,4,9,,9,2018,4/9/2018,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
47832,2183,Fall/Winter 2018-19,26W,BLDG,490A,V,LEC,1783,Capstone BLDG ENGR Design Proj,SGW,P,1,H937,H,937,10.15.00,11.55.00,N,N,N,Y,N,N,N,4,9,,9,2018,4/9/2018,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,1,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,9,9,,9,2018,9/9/2018,15,9,9,2018,15/09/2018,,15/09/2018,15/09/2018
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,2,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,23,9,,9,2018,23/09/2018,29,9,9,2018,29/09/2018,,29/09/2018,29/09/2018
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,3,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,7,10,,10,2018,7/10/2018,13,10,10,2018,13/10/2018,,13/10/2018,13/10/2018
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,4,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,21,10,,10,2018,21/10/2018,27,10,10,2018,27/10/2018,,27/10/2018,27/10/2018
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,5,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,4,11,,11,2018,4/11/2018,10,11,11,2018,10/11/2018,,10/11/2018,10/11/2018
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,6,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,18,11,,11,2018,18/11/2018,24,11,11,2018,24/11/2018,,24/11/2018,24/11/2018
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,7,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,20,1,,1,2019,20/01/2019,26,1,1,2019,26/01/2019,,26/01/2019,26/01/2019
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,8,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,3,2,,2,2019,3/2/2019,9,2,2,2019,9/2/2019,,9/2/2019,9/2/2019
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,9,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,17,2,2,02,2019,17/02/2019,23,2,02,2019,23/02/2019,,23/02/2019,23/02/2019
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,10,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,10,3,,3,2019,10/3/2019,16,3,03,2019,16/03/2019,,16/03/2019,16/03/2019
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,11,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,24,3,3,03,2019,24/03/2019,30,3,03,2019,30/03/2019,,30/03/2019,30/03/2019
5086,2183,Fall/Winter 2018-19,26W,COEN,490,X,LEC,1969,COMPUTER ENGINEERING PROJECT,SGW,P,12,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,7,4,,4,2019,7/4/2019,13,4,04,2019,13/04/2019,,13/04/2019,13/04/2019
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,1,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,4,9,,9,2018,4/9/2018,8,9,9,2018,8/9/2018,,8/9/2018,8/9/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,2,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,16,9,,9,2018,16/09/2018,22,9,9,2018,22/09/2018,,22/09/2018,22/09/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,3,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,30,9,,9,2018,30/09/2018,6,10,10,2018,6/10/2018,,6/10/2018,6/10/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,4,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,14,10,,10,2018,14/10/2018,20,10,10,2018,20/10/2018,,20/10/2018,20/10/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,5,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,28,10,,10,2018,28/10/2018,3,11,11,2018,3/11/2018,,3/11/2018,3/11/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,6,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,11,11,,11,2018,11/11/2018,17,11,11,2018,17/11/2018,,17/11/2018,17/11/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,7,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,25,11,,11,2018,25/11/2018,1,12,12,2018,1/12/2018,,1/12/2018,1/12/2018
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,8,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,13,1,,1,2019,13/01/2019,19,1,1,2019,19/01/2019,,19/01/2019,19/01/2019
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,9,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,27,1,,1,2019,27/01/2019,2,2,2,2019,2/2/2019,,2/2/2019,2/2/2019
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,10,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,10,2,,2,2019,10/2/2019,16,2,02,2019,16/02/2019,,16/02/2019,16/02/2019
8022,2183,Fall/Winter 2018-19,26W,ELEC,490,X,LEC,1968,ELECTRICAL ENGR. PROJECT,SGW,P,11,H937,H,937,10.15.00,11.30.00,N,N,N,N,Y,N,N,3,3,,3,2019,3/3/2019,9,3,3,2019,9/3/2019,,9/3/2019,9/3/2019
