Course ID,Term Code,Term Descr,Session,Subject,Catalog Nbr,Section,Component Code,Class Nbr,Course Title,Location Code,Instruction Mode code,Meeting Pattern Nbr,Room Code,Building Code,Room,Class Start Time,Class End Time,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Start DD,Start MM,Start YYYY,Start Date (DD/MM/YYYY),End DD,End MM,End YYYY,End Date (DD/MM/YYYY)
48357,2184,Winter 2019,13W,AERO,455,TI-X,LAB,5949,COMPUT FLUID DYNA FOR AERO,SGW,P,1,H819,H,819,11.45.00,14.30.00,N,N,Y,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
48357,2184,Winter 2019,13W,AERO,455,TJ-X,LAB,5950,COMPUT FLUID DYNA FOR AERO,SGW,P,1,H823,H,823,11.45.00,14.30.00,N,N,Y,N,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
2580,2184,Winter 2019,13W,BCEE,231,V VA,TUT,1200,COMP.APPL.BLDG/CIVIL ENGR.,SGW,P,1,H967,H,967,14.45.00,15.35.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
2580,2184,Winter 2019,13W,BCEE,231,V VB,TUT,1199,COMP.APPL.BLDG/CIVIL ENGR.,SGW,P,1,H831,H,831,14.45.00,15.35.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
4445,2184,Winter 2019,13W,CIVI,454,VI-X,LAB,1495,DESIGN OF STEEL STRUCTURES,SGW,P,1,H819,H,819,09.45.00,11.25.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
4445,2184,Winter 2019,13W,CIVI,454,VJ-X,LAB,1496,DESIGN OF STEEL STRUCTURES,SGW,P,1,H819,H,819,09.45.00,11.25.00,Y,N,N,N,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
4445,2184,Winter 2019,13W,CIVI,454,VK-X,LAB,1493,DESIGN OF STEEL STRUCTURES,SGW,P,1,H819,H,819,11.30.00,13.10.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
4445,2184,Winter 2019,13W,CIVI,454,VL-X,LAB,1494,DESIGN OF STEEL STRUCTURES,SGW,P,1,H819,H,819,11.30.00,13.10.00,Y,N,N,N,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
5060,2184,Winter 2019,13W,COEN,244,D DA,TUT,4336,PROGRAMMING METHODOLOGY II,SGW,P,1,H831,H,831,16.15.00,17.55.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5060,2184,Winter 2019,13W,COEN,244,D DC,TUT,6108,PROGRAMMING METHODOLOGY II,SGW,P,1,H831,H,831,16.15.00,17.55.00,N,N,N,N,Y,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5059,2184,Winter 2019,13W,COEN,243,J JB,TUT,1521,PROGRAMMING METHODOLOGY I,SGW,P,1,H831,H,831,10.15.00,11.55.00,N,N,Y,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5059,2184,Winter 2019,13W,COEN,243,J JC,TUT,5537,PROGRAMMING METHODOLOGY I,SGW,P,1,H831,H,831,10.15.00,11.55.00,N,N,N,N,Y,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5059,2184,Winter 2019,13W,COEN,243,J JD,TUT,8457,PROGRAMMING METHODOLOGY I,SGW,P,1,H831,H,831,13.15.00,14.55.00,N,Y,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5060,2184,Winter 2019,13W,COEN,244,W WB,TUT,1524,PROGRAMMING METHODOLOGY II,SGW,P,1,H831,H,831,16.15.00,17.55.00,N,Y,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5064,2184,Winter 2019,13W,COEN,313,WI-X,LAB,4342,DIGITAL SYS. DESIGN II,SGW,P,1,H913,H,913,14.45.00,17.30.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
5064,2184,Winter 2019,13W,COEN,313,WJ-X,LAB,4343,DIGITAL SYS. DESIGN II,SGW,P,1,H913,H,913,14.45.00,17.30.00,Y,N,N,N,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
5062,2184,Winter 2019,13W,COEN,311,WK-X,LAB,1530,COMP ORGANIZATION + SOFTWARE,SGW,P,1,H813,H,813,10.15.00,13.00.00,N,N,N,N,Y,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
5064,2184,Winter 2019,13W,COEN,313,WL-X,LAB,4875,DIGITAL SYS. DESIGN II,SGW,P,1,H913,H,913,13.15.00,16.00.00,N,N,N,N,Y,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
5064,2184,Winter 2019,13W,COEN,313,WM-X,LAB,6116,DIGITAL SYS. DESIGN II,SGW,P,1,H913,H,913,14.45.00,17.30.00,N,N,Y,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
5064,2184,Winter 2019,13W,COEN,313,WN-X,LAB,6117,DIGITAL SYS. DESIGN II,SGW,P,1,H913,H,913,14.45.00,17.30.00,N,N,Y,N,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
5064,2184,Winter 2019,13W,COEN,313,WO-X,LAB,6969,DIGITAL SYS. DESIGN II,SGW,P,1,H913,H,913,13.15.00,16.00.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
5070,2184,Winter 2019,13W,COEN,346,Y YA,TUT,1543,OPERATING SYSTEMS,SGW,P,1,H831,H,831,12.15.00,13.05.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5070,2184,Winter 2019,13W,COEN,346,YI-X,LAB,1544,OPERATING SYSTEMS,SGW,P,1,H917,H,917,17.45.00,20.30.00,N,N,Y,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
5070,2184,Winter 2019,13W,COEN,346,YJ-X,LAB,1542,OPERATING SYSTEMS,SGW,P,1,H917,H,917,17.45.00,20.30.00,N,N,Y,N,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
5070,2184,Winter 2019,13W,COEN,346,YK-X,LAB,6973,OPERATING SYSTEMS,SGW,P,1,H819,H,819,17.45.00,20.30.00,N,Y,N,N,N,N,N,7,1,2019,7/1/2019,12,1,2019,12/1/2019
5062,2184,Winter 2019,13W,COEN,311,YL-X,LAB,7304,COMP ORGANIZATION + SOFTWARE,SGW,P,1,H813,H,813,14.45.00,17.30.00,N,N,N,Y,N,N,N,13,1,2019,13/01/2019,19,1,2019,19/01/2019
5364,2184,Winter 2019,13W,COMP,249,A-X,LAB,4939,OBJ-ORIENTED PROGRAMMING II,SGW,P,1,H811,H,811,16.30.00,17.30.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5363,2184,Winter 2019,13W,COMP,248,C-X,LAB,6469,OBJ-ORIENTED PROGRAMMING I,SGW,P,1,H917,H,917,20.00.00,21.00.00,N,N,N,N,Y,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5363,2184,Winter 2019,13W,COMP,248,D-X,LAB,4930,OBJ-ORIENTED PROGRAMMING I,SGW,P,1,H831,H,831,13.35.00,14.35.00,N,N,N,N,Y,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5337,2184,Winter 2019,13W,COMP,218,EC A,TUT,4891,FUNDAMENTALS OF PROGRAMMING,SGW,P,1,H967,H,967,17.45.00,19.25.00,N,Y,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5337,2184,Winter 2019,13W,COMP,218,EC B,TUT,4892,FUNDAMENTALS OF PROGRAMMING,SGW,P,1,H967,H,967,10.15.00,11.55.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5567,2184,Winter 2019,13W,COMP,6231,FFFJ,LAB,7990,DISTRIBUTED SYSTEM DESIGN,SGW,P,1,H831,H,831,20.30.00,22.20.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5363,2184,Winter 2019,13W,COMP,248,H-X,LAB,5549,OBJ-ORIENTED PROGRAMMING I,SGW,P,1,H817,H,817,16.35.00,17.35.00,N,N,N,N,Y,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5363,2184,Winter 2019,13W,COMP,248,I-X,LAB,6298,OBJ-ORIENTED PROGRAMMING I,SGW,P,1,H831,H,831,16.35.00,17.35.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
40353,2184,Winter 2019,13W,COMP,6721,NNNI,LAB,1767,INTRO TO A.I.,SGW,P,1,H843,H,843,20.25.00,22.25.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5482,2184,Winter 2019,13W,COMP,472,NNNJ,LAB,1734,ARTIFICIAL INTELLIGENCE,SGW,P,1,H929,H,929,17.45.00,19.45.00,Y,N,N,N,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
5482,2184,Winter 2019,13W,COMP,472,NNNK,LAB,1735,ARTIFICIAL INTELLIGENCE,SGW,P,1,H847,H,847,20.25.00,22.25.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
40353,2184,Winter 2019,13W,COMP,6721,NNNL,LAB,8173,INTRO TO A.I.,SGW,P,1,H849,H,849,20.25.00,22.25.00,N,N,N,Y,N,N,N,7,1,2019,7/1/2019,13,4,2019,13/04/2019
